,race_id,driver_id,constructor_id,grid_position,race_points_scored,race_laps_completed,status_id,year,round,circuit_id,driver_nationality,constructor_nationality,driver_season_points,driver_season_position,driver_season_wins,constructor_season_points,constructor_season_position,constructor_season_wins,q1_time,q2_time,q3_time,final_position
104,22,20,5,14,0.0,57,11,2008,5,5,18,14,0.0,22.0,0.0,2.0,9.0,0.0,87442.0,87412.0,87412.0,17.0
105,22,7,5,18,0.0,24,22,2008,5,5,17,14,2.0,13.0,0.0,2.0,9.0,0.0,87621.0,87621.0,87621.0,34.0
106,22,6,3,16,0.0,1,4,2008,5,5,24,5,5.0,11.0,0.0,13.0,4.0,0.0,87547.0,87547.0,87547.0,34.0
107,22,21,10,20,0.0,0,4,2008,5,5,23,12,0.0,16.0,0.0,0.0,10.0,0.0,87807.0,87807.0,87807.0,34.0
108,23,1,1,3,10.0,76,1,2008,6,6,8,5,38.0,1.0,2.0,53.0,2.0,2.0,75582.0,75322.0,75839.0,1.0
109,23,9,2,5,8.0,76,1,2008,6,6,30,10,32.0,4.0,0.0,52.0,3.0,0.0,75977.0,75483.0,76171.0,2.0
110,23,13,6,1,6.0,76,1,2008,6,6,7,14,34.0,3.0,2.0,69.0,1.0,4.0,75190.0,75110.0,75787.0,3.0
111,23,17,9,9,5.0,76,1,2008,6,6,4,2,15.0,7.0,0.0,15.0,5.0,0.0,76074.0,75745.0,77343.0,4.0
112,23,20,5,19,4.0,76,1,2008,6,6,18,14,4.0,12.0,0.0,6.0,8.0,0.0,76955.0,76955.0,76955.0,5.0
113,23,22,11,14,3.0,76,1,2008,6,6,7,15,3.0,14.0,0.0,6.0,9.0,0.0,76208.0,76537.0,76537.0,6.0
114,23,6,3,13,2.0,76,1,2008,6,6,24,5,7.0,11.0,0.0,15.0,4.0,0.0,76756.0,76479.0,76479.0,7.0
115,23,5,1,4,1.0,76,1,2008,6,6,16,5,15.0,6.0,0.0,53.0,2.0,2.0,75295.0,75389.0,76165.0,8.0
116,23,8,6,2,0.0,76,1,2008,6,6,16,14,35.0,2.0,2.0,69.0,1.0,4.0,75717.0,75404.0,75815.0,9.0
117,23,4,4,7,0.0,75,11,2008,6,6,35,9,9.0,8.0,0.0,9.0,7.0,0.0,76646.0,75827.0,76852.0,10.0
118,23,18,11,11,0.0,75,11,2008,6,6,8,15,3.0,13.0,0.0,6.0,9.0,0.0,76259.0,76101.0,76101.0,11.0
119,23,10,7,10,0.0,75,11,2008,6,6,18,15,0.0,17.0,0.0,9.0,6.0,0.0,76285.0,75907.0,75907.0,12.0
120,23,15,7,8,0.0,75,11,2008,6,6,23,15,9.0,9.0,0.0,9.0,6.0,0.0,76306.0,75598.0,77203.0,13.0
121,23,2,2,12,0.0,72,14,2008,6,6,18,10,20.0,5.0,0.0,52.0,3.0,0.0,76650.0,76455.0,76455.0,14.0
122,23,16,10,18,0.0,67,4,2008,6,6,18,12,0.0,22.0,0.0,0.0,10.0,0.0,77225.0,77225.0,77225.0,34.0
123,23,3,3,6,0.0,59,3,2008,6,6,18,5,8.0,10.0,0.0,15.0,4.0,0.0,75935.0,75287.0,76548.0,34.0
124,23,12,4,17,0.0,47,3,2008,6,6,7,9,0.0,19.0,0.0,9.0,7.0,0.0,76933.0,76933.0,76933.0,34.0
125,23,21,10,20,0.0,36,6,2008,6,6,23,12,0.0,18.0,0.0,0.0,10.0,0.0,77823.0,77823.0,77823.0,34.0
126,23,14,9,15,0.0,7,3,2008,6,6,8,2,0.0,16.0,0.0,15.0,5.0,0.0,76086.0,75839.0,75839.0,34.0
127,23,7,5,16,0.0,7,4,2008,6,6,17,14,2.0,15.0,0.0,6.0,8.0,0.0,76806.0,76806.0,76806.0,34.0
128,24,9,2,2,10.0,70,1,2008,7,7,30,10,42.0,1.0,1.0,70.0,2.0,1.0,77471.0,77679.0,78498.0,1.0
129,24,2,2,8,8.0,70,1,2008,7,7,18,10,28.0,5.0,0.0,70.0,2.0,1.0,78082.0,77781.0,79633.0,2.0
130,24,14,9,13,6.0,70,1,2008,7,7,8,2,6.0,12.0,0.0,21.0,4.0,0.0,78168.0,78238.0,78238.0,3.0
131,24,10,7,11,5.0,70,1,2008,7,7,18,15,5.0,13.0,0.0,17.0,5.0,0.0,78321.0,78031.0,78031.0,4.0
132,24,13,6,6,4.0,70,1,2008,7,7,7,14,38.0,3.0,2.0,73.0,1.0,4.0,77231.0,77353.0,79048.0,5.0
133,24,15,7,14,3.0,70,1,2008,7,7,23,15,12.0,8.0,0.0,17.0,5.0,0.0,78039.0,78327.0,78327.0,6.0
134,24,22,11,9,2.0,70,1,2008,7,7,7,15,5.0,15.0,0.0,8.0,8.0,0.0,78256.0,78020.0,80848.0,7.0
135,24,20,5,19,1.0,70,1,2008,7,7,18,14,5.0,14.0,0.0,7.0,9.0,0.0,80403.36842105263,80403.36842105263,80403.36842105263,8.0
136,24,5,1,7,0.0,70,1,2008,7,7,16,5,15.0,6.0,0.0,53.0,3.0,2.0,77287.0,77684.0,79089.0,9.0
137,24,3,3,5,0.0,70,1,2008,7,7,18,5,8.0,10.0,0.0,15.0,6.0,0.0,77991.0,77891.0,78844.0,10.0
